item,2020_amount,2020_pct,2021_amount,2021_pct,2022_amount,2022_pct,unit
直接材料,8216.11,0.5694,11742.66,0.5948,11966.39,0.5850,万元
直接人工,1405.53,0.0974,1916.18,0.0971,2180.50,0.1066,万元
制造费用,4807.59,0.3332,6083.85,0.3082,6309.82,0.3084,万元
合计,14429.23,1.0000,19742.69,1.0000,20456.71,1.0000,万元

